Navn;Gatenavn;Aktive;AntallLadepunkter;Latitude;Longitude
Psykiatrisk klinikk;Jan Johnsens gate,51;Active;6;58.9526;5.7361
Inngang 6 SUS;Armauer Hansens vei,11-17;Active;4;58.9537;5.7336
Inngang 5 SUS;Armauer Hansens vei,20;Active;4;58.9537;5.7321
Hovedinngang SUS;Gerd-Ragna Bloch Thorsens gate,8;Active;12;58.8524;5.7317
Bouvet;Fabrikkveien,10;Active;4;58.8972;5.6976
Kvadrat Hovedinngang;Gamle Stokkavei,1;Active;2;58.8758;5.7220
Subsea7;Kanalsletta,4;Active;4;58.8956;5.6856
Kunstmuseet;Henrik Ibsensgate,55;Active;4;58.9550;5.7036
Straensenteret;Lars Hertervigsgate,6;Active;4;58.9700;5.7286
Konserthuset;Nedre Strandgate,89;Active;4;58.9742;5.7254
Fisketorget;Strandkaien,37;Active;4;58.9704;5.7398
T2 torget Victoria;Skagenkaienkaien,35;Active;4;58.9726;5.7301
Holmealmenningen;Nedre Holmegate,12;Active;4;58.9734;5.7314
Oljemuseet;Kjeringholmen;Active;4;58.9729;5.7349
Nytorget;Nytorget,1;Active;4;58.9701;5.7378
Hurtigbåtterminalen;Verksgatan,14;Active;4;58.9722;5.7400
Tou Scene;Kvitsøygata,25;Active;4;58.9694;5.7580
BI Stavanger;Hesbygaten,5;Active;4;58.9691;5.7510
Rogaland Teater;Teaterveien,1;Active;4;58.9656;5.7327
Statens hus;Lagårdsveien,44;Active;4;58.9610;5.7384
Lyse,Mariero;Breiflåtveien,18;Active;4;58.9333;5.7473
Lyse Knud Knudsens vei;Knud Knudsens vei 6;Active;2;58.9319;5.7442
Maskinveien 24 (FNP);Maskinveien,24;Active;4;58.9006;5.7051
Gausel Stasjon;Gauselveien,50;Active;12;58.8995;5.7407
2020park;Forusbeen,10;Active;4;58.8905;5.7378
Stavanger jernbane stasjon;Jernbane-veien,9;Active;6;58.9670;5.7323
Clarion Hotel Stavanger;Ny Olavskleiv,8;Active;6;58.9675;5.7295
Scandic Forus Hotel;Bjødnabeen,2;Active;6;58.8917;5.7301
Møller Bil (Audi);Vassbotn,6;Active;4;58.8875;5.7120
Møller Bil (VW);Vassbotn,17;Active;4;58.8912;5.7131
Kanalsletta Kruse Smith;Kanalsletta,4;Active;8;58.8952;5.6896
Tvedtsenteret;Lagerveien,1;Active;8;58.8957;5.7024
Clarion Hotel Energy;Ishocey-veien,1;Active;12;58.9539;5.6893
